Student ID,Study Hours per Week,Attendance Rate,Previous Grades,Parent Education Level,Gender,Engagement Level,Contact Info,Library Card Number,Grade Level,Age,Country
S00033,9.9,76.3,89.5,Associate,Male,,968-681-2289,LC5731,Grade 11,16,England
S00034,4.7,45.4,69.2,Doctorate,Male,2,390-969-7653,LC5221,Grade 12,17,Germany
S00035,14.1,61.0,81.6,High School,Male,1,148-365-3660,LC3440,Grade 11,16,Germany
S00036,3.9,60.9,67.7,Master,Male,1,211-687-7664,,Grade 10,15,Germany
S00037,11.0,69.7,49.3,Master,Male,1,894-808-1622,LC6893,Grade 11,16,Germany
S00038,0.2,51.2,69.1,Master,Male,0,770-253-2946,LC5836,Grade 12,17,Germany
S00039,3.4,73.6,57.5,Master,Female,3,433-238-8781,LC6807,Grade 11,16,England
S00040,11.0,84.2,48.4,Master,Female,1,118-310-4239,LC9974,Grade 12,18,Germany
S00041,,44.4,63.8,Master,Male,1,881-460-6008,LC1785,Grade 11,16,France
S00042,10.9,62.3,77.3,Bachelor,Male,2,604-733-2353,,Grade 10,15,France
S00043,9.4,125.8,59.9,Associate,Female,4,737-648-3426,,Grade 11,16,France
S00044,8.5,81.6,94.1,,Male,2,350-966-7771,,Grade 11,16,Portugal
S00045,2.6,38.6,79.3,Doctorate,Female,2,553-347-9051,LC9855,Grade 11,16,Germany
S00046,6.4,47.0,56.8,High School,Female,0,919-328-7153,LC5616,Grade 12,17,Germany
S00047,7.7,79.5,56.3,Doctorate,Male,1,247-568-2918,LC3072,Grade 12,17,Spain
S00048,15.3,77.0,97.2,High School,Male,0,865-995-8450,LC3987,Grade 11,15,Portugal
S00049,11.7,63.3,60.0,Associate,Male,0,744-804-8824,,Grade 12,17,Germany
S00050,1.2,118.9,70.5,Master,Male,2,174-100-4969,,Grade 11,16,Portugal
S00051,11.6,127.4,71.3,High School,Male,2,765-601-3676,,Grade 11,15,France
S00052,8.1,69.7,39.1,Doctorate,Male,2,948-450-1964,LC6769,Grade 10,15,England
S00053,6.6,92.5,39.3,Doctorate,Female,1,455-385-3054,LC4384,Grade 11,16,Spain
S00054,13.1,93.5,,,Male,0,155-400-9164,LC1603,Grade 11,16,England
S00055,15.2,96.1,49.3,,Male,3,161-874-2036,,Grade 10,14,Germany
S00056,14.7,62.2,65.2,Bachelor,Male,3,330-833-9483,LC9818,Grade 12,17,Germany
S00057,5.8,113.8,42.3,Doctorate,Male,2,336-346-4436,LC6173,Grade 11,16,Germany
S00058,8.5,73.6,60.1,,Male,1,107-925-2995,,Grade 11,16,France
S00059,11.7,83.4,68.2,Master,Male,2,211-743-8559,LC3808,Grade 11,16,France
S00060,14.9,75.0,34.1,High School,Male,1,525-480-1199,LC6471,Grade 11,16,Germany
S00061,7.6,72.2,65.8,High School,Male,3,730-854-9764,LC1445,Grade 12,17,France
S00062,9.1,80.6,66.6,Bachelor,Male,2,999-355-5094,LC6376,Grade 11,16,France
S00063,4.5,51.3,58.0,Associate,Male,1,667-216-7587,LC2659,Grade 12,17,England
S00064,4.0,35.6,48.5,Associate,Male,1,424-268-3557,LC7188,Grade 11,16,France
S00065,14.1,70.7,59.4,High School,Male,4,142-880-5084,LC6134,Grade 10,15,England
S00066,16.8,57.4,59.4,High School,Male,,296-268-8499,,Grade 10,15,Germany
S00067,9.6,86.0,93.9,Associate,Female,0,502-164-7609,LC5700,Grade 10,15,Germany
S00068,15.0,83.7,63.2,,Male,1,804-255-7894,LC5011,Grade 12,17,Germany
S00069,11.8,75.3,58.0,Doctorate,Female,5,279-349-3536,,Grade 11,16,Portugal
S00070,6.8,104.6,63.2,Associate,Male,0,185-911-8466,LC8683,Grade 10,15,England
S00071,11.8,74.9,71.4,Master,Female,2,342-696-5843,LC9056,Grade 10,15,Germany
S00072,17.7,45.8,70.8,Bachelor,Male,4,729-371-3189,LC6506,Grade 11,16,Spain
S00073,9.8,70.5,71.7,Master,Female,4,906-755-1043,LC2874,Grade 10,15,Germany
S00074,17.8,98.4,74.0,Doctorate,Male,1,888-208-7127,LC9671,Grade 11,16,Spain
S00075,-3.1,37.3,43.1,Master,Female,1,108-308-9586,LC2820,Grade 11,16,Germany
S00076,14.1,73.1,72.7,Doctorate,Male,2,576-923-5700,LC7469,Grade 12,17,Germany
S00077,10.4,86.5,67.8,Doctorate,Male,5,368-259-3581,,Grade 11,16,Spain
S00078,8.5,128.0,55.7,Bachelor,Male,1,262-710-5598,LC5093,Grade 12,17,England
S00079,10.5,99.2,66.6,High School,Male,1,124-544-1340,,Grade 11,15,England
S00080,0.1,77.7,63.4,Associate,Male,3,861-335-7199,,Grade 11,16,England
S00081,8.9,85.4,64.7,Doctorate,Male,1,845-536-9048,LC7159,Grade 11,16,England
S00082,11.8,37.0,67.6,Master,Male,2,979-482-6717,LC3720,Grade 10,15,England
S00083,17.4,,39.8,Master,Male,4,228-997-2532,LC4557,Grade 10,15,England
S00084,7.4,,68.9,Bachelor,Female,4,753-789-1249,,Grade 11,17,Germany
S00085,6.0,78.2,74.8,Bachelor,Male,2,660-734-6924,LC7695,Grade 11,16,France
S00086,7.5,80.8,68.7,Doctorate,Male,0,904-846-1856,LC7032,Grade 12,17,England
S00087,14.6,75.7,54.1,Master,Male,3,488-536-9920,,Grade 11,16,France
S00088,11.6,74.9,52.1,Master,Male,1,487-858-4823,LC8327,Grade 11,16,Germany
S00089,7.4,77.1,67.7,Bachelor,Male,4,968-104-2719,LC7444,Grade 12,18,England
S00090,12.6,53.9,77.0,Doctorate,Female,0,967-479-7494,LC4228,Grade 11,15,Germany
S00091,10.5,70.4,84.6,,Male,2,758-213-8442,LC2135,Grade 10,15,England
S00092,14.8,,76.5,High School,Female,1,958-924-2036,LC1533,Grade 10,15,France
S00093,6.5,62.6,72.7,High School,Male,2,556-937-8567,LC8287,Grade 11,16,England
S00094,8.4,98.9,26.9,Doctorate,Female,4,413-324-2134,LC4119,Grade 12,17,Spain
S00095,8.0,71.4,,Doctorate,Male,1,652-335-4659,LC3939,Grade 12,16,Spain
S00096,2.7,86.9,,Associate,Male,0,995-456-1091,LC5440,Grade 12,17,Portugal
S00097,11.5,77.3,54.8,Associate,Male,0,348-320-6834,LC6863,Grade 11,16,Portugal
S00098,11.3,67.3,200.0,Master,Male,1,555-871-7140,,Grade 12,17,France
S00099,10.0,54.8,49.1,Associate,Female,1,300-860-6112,,Grade 11,16,Portugal
S00100,8.8,67.0,91.5,Associate,Male,0,340-985-9107,LC7433,Grade 11,16,Germany
S00101,2.9,78.7,45.5,Master,Female,1,686-132-1730,,Grade 12,17,Spain
S00102,7.9,86.6,61.8,High School,Male,,291-996-5545,LC3492,Grade 10,15,Germany
S00103,,77.4,54.1,Bachelor,Female,4,716-736-2042,LC5622,Grade 11,16,England
S00104,6.0,88.0,52.0,High School,Female,2,970-597-3638,LC6735,Grade 12,17,Germany
S00105,9.2,44.6,71.2,Doctorate,Male,3,570-337-1441,LC6152,Grade 12,17,Germany
S00106,12.0,92.3,77.3,Doctorate,Male,0,368-218-5145,LC4761,Grade 11,16,Germany
S00107,19.4,52.4,47.3,Associate,Male,2,117-544-3542,LC4341,Grade 12,17,Spain
S00108,10.9,94.7,65.8,Master,Male,4,305-487-9091,,Grade 11,16,England
S00109,11.3,,63.3,Associate,Male,1,373-216-5457,,Grade 11,16,Spain
S00110,9.6,37.6,58.2,Master,Female,1,638-995-6949,LC7429,Grade 10,15,Spain
S00111,,89.7,51.0,High School,Male,5,702-342-8669,LC9259,Grade 11,15,Germany
S00112,9.9,94.9,81.6,Bachelor,Female,2,462-450-4349,LC8407,Grade 12,17,England
S00113,10.3,100.2,49.5,High School,Female,4,305-694-8316,LC4553,Grade 11,16,Spain
S00114,22.3,59.6,45.5,Associate,Male,4,924-976-4563,LC2228,Grade 12,17,Germany
S00115,9.0,78.6,81.5,Associate,Female,5,282-159-6065,LC6816,Grade 11,16,France
S00116,11.5,88.9,68.0,High School,Male,1,838-186-4346,LC1088,Grade 11,16,Germany
S00117,9.8,89.7,47.3,Associate,Female,1,779-168-9479,LC4093,Grade 10,15,Germany
S00118,4.2,83.2,63.8,Doctorate,Male,1,416-854-8274,,Grade 12,18,France
S00119,15.7,66.5,55.6,Bachelor,Female,1,410-868-4925,,Grade 12,17,Germany
S00120,13.8,94.8,87.3,Doctorate,Female,1,852-146-6098,,Grade 12,17,England
S00121,14.0,94.9,61.4,,Female,0,556-836-8364,LC8059,Grade 12,17,England
S00122,5.5,71.9,73.0,High School,Male,1,573-785-3979,LC6046,Grade 10,15,England
S00123,17.0,59.3,64.7,Doctorate,Female,1,856-298-3755,LC6288,Grade 11,16,Germany
S00124,3.0,,86.6,Doctorate,Male,2,786-982-4944,LC2553,Grade 10,15,France
S00125,12.9,102.3,68.1,Bachelor,Male,1,987-163-4863,LC8418,Grade 11,16,Spain
S00126,21.0,94.0,82.4,Bachelor,Male,2,970-427-3705,LC6795,Grade 11,16,England
S00127,,74.6,73.1,Associate,Male,0,974-867-7585,,Grade 10,15,Germany
S00128,7.2,71.0,56.7,Doctorate,Male,0,297-537-1145,LC1672,Grade 12,17,Spain
S00129,10.5,39.6,65.0,Master,Female,3,196-913-3049,LC4038,Grade 12,17,Germany
S00130,7.5,73.3,61.8,Master,Male,1,671-560-2338,,Grade 11,16,Spain
S00131,2.2,51.2,56.4,High School,Male,2,610-782-8782,LC2785,Grade 12,17,England
S00132,10.3,78.2,48.8,Bachelor,Male,2,976-349-5657,LC7249,Grade 11,16,England
S00133,4.7,98.7,85.4,Master,Male,3,509-367-1630,,Grade 12,16,Germany
S00134,12.4,55.4,34.1,Bachelor,Male,0,163-763-1065,,Grade 12,17,Portugal
S00135,5.4,79.8,85.0,High School,Male,0,710-605-1785,LC9817,Grade 11,16,Portugal
S00136,17.7,95.0,44.9,Doctorate,Male,3,912-855-3941,LC6303,Grade 12,16,England
S00137,6.1,79.4,73.1,Associate,Male,1,744-101-1874,LC9868,Grade 11,16,France
S00138,8.4,64.5,56.2,Bachelor,Male,3,672-486-9382,LC9637,Grade 10,15,Germany
S00139,14.1,75.2,40.0,,Male,4,360-135-9804,LC6856,Grade 11,16,France
S00140,3.8,94.1,82.2,Doctorate,Male,4,283-175-7192,LC1320,Grade 10,15,England
S00141,11.1,80.3,29.0,Associate,Female,0,389-189-8930,,Grade 11,16,Germany
S00142,16.5,74.9,76.9,Associate,Male,3,229-664-1151,LC5048,Grade 11,16,Germany
S00143,2.0,98.1,66.9,High School,Male,2,758-423-4709,LC1657,Grade 11,16,England
S00144,10.9,85.3,80.8,Bachelor,Female,2,167-620-3678,LC5296,Grade 12,17,England
S00145,11.3,50.9,74.4,High School,Female,4,939-143-5253,LC3004,Grade 11,17,Spain
S00146,13.9,87.6,74.2,Doctorate,Female,0,835-326-5127,LC8673,Grade 11,16,Germany
S00147,3.8,94.0,78.5,Doctorate,Male,0,538-244-8840,LC4022,Grade 11,16,England
S00148,3.4,50.3,,Associate,Female,1,752-580-7171,LC5755,Grade 11,16,England
S00149,12.6,29.6,,High School,Female,,401-522-5998,,Grade 11,16,Spain
S00150,11.5,54.2,60.0,High School,Female,0,869-521-1771,,Grade 11,16,Portugal
S00151,11.3,73.0,61.6,Master,Male,1,499-779-7470,LC9309,Grade 10,15,England
S00152,11.7,95.2,66.6,Doctorate,Female,1,426-266-1211,,Grade 11,16,Portugal
S00153,6.6,57.2,61.0,Master,Male,2,344-318-4204,LC6773,Grade 11,16,Germany
S00154,11.2,86.1,97.8,Bachelor,Male,1,632-478-3651,LC8365,Grade 10,14,Germany
S00155,11.5,17.2,63.7,Bachelor,Male,1,100-608-9386,,Grade 12,17,Germany
S00156,6.4,78.6,47.8,Associate,Female,0,481-985-9748,LC9165,Grade 10,15,Germany
S00157,19.3,66.9,63.2,Master,Female,4,386-859-8893,LC1966,Grade 11,15,Germany
S00158,12.4,117.0,52.4,Master,Male,5,884-536-5783,LC9791,Grade 11,16,Germany
S00159,4.0,37.2,94.4,Bachelor,Male,3,803-642-3375,LC6110,Grade 11,16,Spain
S00160,,,66.5,Doctorate,Male,0,917-167-6353,LC5605,Grade 11,16,Germany
S00161,5.1,37.0,74.5,Bachelor,Female,3,342-938-1327,LC6694,Grade 12,17,Spain
S00162,13.9,64.0,72.7,Master,Male,1,579-977-8188,LC4545,Grade 10,15,Germany
S00163,15.8,41.0,79.2,Doctorate,Female,2,220-816-8978,,Grade 10,15,Spain
S00164,5.9,121.0,68.6,Doctorate,Female,2,332-295-7548,LC2013,Grade 12,17,England
S00165,14.8,67.9,59.0,Associate,Female,3,869-124-3866,LC3328,Grade 11,16,Germany
S00166,12.1,70.8,65.7,High School,Female,3,260-277-3211,LC8741,Grade 11,16,Spain
S00167,14.1,74.1,46.6,Master,Male,1,613-891-8563,LC6183,Grade 12,17,France
S00168,19.5,52.4,,Doctorate,Male,2,735-246-1897,LC6896,Grade 11,16,France
S00169,8.8,96.1,91.9,Bachelor,Female,5,754-290-8071,LC5424,Grade 11,16,Germany
S00170,6.2,87.8,76.0,Doctorate,Male,4,424-729-2541,LC9144,Grade 12,17,Portugal
S00171,5.6,93.4,63.4,Bachelor,Male,2,867-581-2250,LC4985,Grade 12,17,Spain
S00172,5.9,50.6,,Master,Male,1,711-194-4513,LC3159,Grade 12,18,France
S00173,9.6,97.7,55.9,High School,Male,3,203-337-4583,,Grade 11,16,Germany
S00174,11.7,95.4,70.1,Master,Male,2,405-141-5207,LC4066,Grade 11,16,Spain
S00175,11.4,70.4,60.5,Bachelor,Female,4,861-901-1717,LC8312,Grade 11,16,Spain
S00176,14.1,92.9,61.9,Doctorate,Male,4,806-349-3016,LC9463,Grade 12,17,Portugal
S00177,10.1,80.5,70.9,Associate,Male,3,812-886-5817,LC1120,Grade 11,16,France
S00178,17.3,43.1,73.6,Doctorate,Female,1,199-538-8692,LC8737,Grade 10,15,England
S00179,8.7,71.3,62.0,Bachelor,Female,3,385-177-3020,LC5138,Grade 12,17,France
S00180,,65.4,52.5,Bachelor,Male,2,153-574-6714,LC1251,Grade 12,17,France
S00181,13.1,76.7,92.5,,Male,1,297-957-5896,,Grade 12,17,Portugal
S00182,5.7,95.4,66.5,Associate,Male,2,732-330-4024,LC3545,Grade 12,17,Germany
S00183,4.6,,49.4,,Male,2,321-254-7332,,Grade 11,16,Germany
S00184,12.4,66.1,49.7,Associate,Male,0,252-978-1034,LC8998,Grade 10,15,Germany
S00185,8.9,58.6,94.9,Associate,Female,2,204-377-2480,,Grade 11,15,England
S00186,13.6,59.4,102.0,High School,Male,1,888-540-4173,LC4913,Grade 11,16,France
S00187,12.4,58.5,70.0,Master,Male,2,400-847-7125,LC6230,Grade 11,16,England
S00188,9.6,76.4,55.8,Doctorate,Male,1,265-170-9651,LC1140,Grade 12,17,Germany
S00189,5.8,85.5,,Associate,Female,0,909-916-8795,LC5858,Grade 10,15,France
S00190,2.4,82.0,60.4,Associate,Male,0,732-415-2463,LC9950,Grade 10,15,England
S00191,7.8,78.7,73.6,Master,Male,1,372-222-2098,LC7283,Grade 12,18,Germany
S00192,14.3,87.4,70.3,Doctorate,Male,1,358-269-1299,LC8553,Grade 12,17,England
S00193,11.1,122.6,64.5,Doctorate,Male,5,897-802-9439,LC7178,Grade 10,15,Germany
S00194,3.8,77.7,63.7,Bachelor,Female,3,818-808-1734,LC4541,Grade 11,16,France
S00195,10.9,95.4,61.7,Associate,Female,5,541-600-4705,LC8608,Grade 10,14,Germany
S00196,11.9,94.3,79.2,High School,Male,,716-617-7928,LC5321,Grade 11,16,Germany
S00197,5.6,110.6,62.1,High School,Male,0,270-636-1086,LC6366,Grade 11,16,Germany
S00198,10.8,86.2,95.8,Master,Male,4,384-279-2603,LC7110,Grade 11,16,Portugal
S00199,10.3,58.1,97.2,High School,Male,3,943-109-2319,LC7115,Grade 11,16,Germany
S00200,,81.1,59.3,Bachelor,Male,4,333-105-6519,LC7500,Grade 11,16,Spain
S00201,11.8,80.0,59.6,Associate,Male,4,804-572-8880,LC3542,Grade 11,16,Germany
S00202,12.8,91.3,64.3,Bachelor,Female,5,187-803-5638,LC4822,Grade 11,16,England
S00203,15.4,57.5,55.4,Associate,Male,1,621-193-3136,LC7540,Grade 12,17,England
S00204,15.3,100.3,77.8,High School,Male,4,649-754-5528,LC2979,Grade 12,17,England
S00205,3.1,75.1,82.8,Master,Male,5,658-135-2022,LC3545,Grade 11,16,Germany
S00206,5.3,91.8,84.3,Associate,Male,1,254-646-3846,,Grade 11,16,Germany
S00207,12.6,81.2,61.9,Bachelor,Female,2,721-220-5348,LC6998,Grade 11,16,England
S00208,12.6,77.5,61.7,Associate,Male,1,316-216-9919,LC7345,Grade 12,16,France
S00209,12.6,79.7,35.1,Bachelor,Male,2,334-681-2062,,Grade 11,16,Germany
S00210,29.3,,55.1,Bachelor,Female,2,249-567-8668,LC2262,Grade 12,17,Germany
S00211,12.9,114.2,51.0,Doctorate,Female,1,294-629-9378,LC4180,Grade 11,16,Germany
S00212,15.7,34.7,48.4,Master,Male,3,578-431-4175,,Grade 12,17,Germany
S00213,14.8,85.8,57.7,,Female,4,248-136-5074,LC7624,Grade 10,15,Spain
S00214,13.3,75.9,60.4,High School,Male,5,158-396-9087,LC5514,Grade 11,16,Spain
S00215,8.4,71.5,64.6,Associate,Male,1,987-369-8772,LC3827,Grade 10,15,Germany
S00216,13.8,27.7,85.4,Bachelor,Female,2,510-937-7702,,Grade 12,17,Spain
S00217,6.1,86.6,82.5,,Male,3,576-530-2895,LC6756,Grade 11,16,England
S00218,8.8,,48.1,Doctorate,Male,3,932-536-7180,,Grade 12,17,Germany
S00219,7.6,58.3,71.4,Associate,Male,5,722-269-5157,LC3082,Grade 12,17,Germany
S00220,10.4,75.8,53.0,Associate,Female,4,611-541-1680,LC9196,Grade 11,16,France
S00221,21.6,69.1,67.2,Bachelor,Male,1,966-107-4184,LC1645,Grade 11,16,England
S00222,0.7,40.2,,High School,Female,4,932-792-5439,LC5514,Grade 11,16,England
S00223,13.4,76.8,57.7,Bachelor,Male,,706-217-6902,LC9124,Grade 11,16,Germany
S00224,1.9,86.6,50.2,Bachelor,Female,1,155-731-6540,,Grade 11,16,Portugal
S00225,7.6,64.0,65.8,Associate,Male,4,336-733-9151,LC2728,Grade 10,15,Germany
S00226,15.4,80.2,84.8,Doctorate,Female,1,339-586-4066,LC9351,Grade 11,16,Germany
S00227,10.3,77.2,95.1,Master,Female,1,654-191-2095,,Grade 11,16,England
S00228,4.6,95.9,55.8,Associate,Male,1,354-412-7954,LC6672,Grade 10,15,Germany
S00229,6.4,72.9,67.0,Master,Female,1,532-959-1201,LC5421,Grade 11,16,England
S00230,,91.0,69.1,High School,Female,1,468-868-8787,LC5529,Grade 11,16,Spain
S00231,,68.7,43.7,Master,Male,4,337-706-3877,LC8431,Grade 11,16,Germany
S00232,11.1,114.3,42.9,High School,Male,,819-910-5007,LC4538,Grade 12,17,Portugal
S00233,10.2,66.3,69.9,High School,Male,1,954-904-4973,LC2087,Grade 10,15,France
S00234,6.7,61.3,59.4,Associate,Male,4,837-912-5357,,Grade 11,16,Germany
S00235,20.7,73.0,44.0,Doctorate,Male,1,384-702-4963,LC3203,Grade 12,17,Germany
S00236,13.2,60.4,,High School,Male,1,337-140-4196,LC1789,Grade 12,17,Spain
S00237,-0.1,50.0,65.9,Bachelor,Male,2,695-237-1789,LC6297,Grade 12,17,Germany
S00238,10.9,89.6,65.2,Master,Male,1,590-763-9811,LC5383,Grade 10,15,England
S00239,6.7,13.7,48.6,Master,Male,3,605-178-9188,LC9185,Grade 11,16,Portugal
S00240,14.3,60.6,39.4,High School,Male,1,593-753-2351,LC5099,Grade 10,15,Germany
S00241,6.0,48.2,56.0,,Female,3,343-976-9872,LC1399,Grade 12,17,Portugal
S00242,9.4,77.8,65.7,Bachelor,Male,0,554-753-7223,,Grade 12,17,Germany
S00243,12.5,31.2,54.4,Associate,Male,3,445-974-7043,LC8767,Grade 12,17,Portugal
S00244,14.3,86.0,48.5,Doctorate,Male,1,634-119-3041,LC8406,Grade 12,17,Germany
S00245,4.0,,59.4,Bachelor,Female,,831-516-1728,LC3702,Grade 12,18,England
S00246,8.3,42.3,65.5,Associate,Male,2,600-764-3247,LC3443,Grade 11,16,France
S00247,7.6,78.8,86.2,Doctorate,Male,1,492-741-5837,LC1286,Grade 10,14,Spain
S00248,6.7,85.3,67.3,Doctorate,Male,5,258-203-9152,LC9261,Grade 10,15,Spain
S00249,18.8,93.8,43.0,Bachelor,Male,2,448-876-4393,LC9606,Grade 10,15,England
S00250,12.0,45.6,34.7,Master,Male,1,366-768-4966,LC1177,Grade 12,17,Portugal
S00251,3.7,42.8,28.2,Master,Male,3,632-610-5766,LC3112,Grade 11,16,France
S00252,14.6,105.1,70.1,High School,Female,4,983-680-3930,LC3094,Grade 10,14,Germany
S00253,20.6,58.6,49.2,Associate,Female,4,486-427-7866,,Grade 12,18,France
S00254,15.2,64.5,72.5,Master,Female,1,686-548-6518,LC4986,Grade 11,16,Portugal
S00255,2.4,,,Associate,Female,4,947-537-5295,LC2556,Grade 12,17,Spain
S00256,7.6,51.6,73.9,High School,Male,1,220-607-3446,LC4027,Grade 11,15,Germany
S00257,16.3,69.7,61.6,Bachelor,Male,4,509-225-3477,LC2204,Grade 11,16,Germany
S00258,6.5,92.8,92.7,Bachelor,Male,4,933-883-1435,LC7569,Grade 11,16,Portugal
S00259,12.2,46.6,58.1,Master,Female,3,651-597-1994,LC7597,Grade 11,16,Spain
S00260,13.9,65.0,51.5,Master,Male,0,202-768-7030,LC4942,Grade 11,16,England
S00261,5.4,52.5,70.0,Doctorate,Male,2,329-908-7106,,Grade 10,15,France
S00262,9.7,59.5,76.6,Master,Male,2,189-461-4159,LC6138,Grade 12,17,England
S00263,-6.2,98.7,26.2,High School,Male,2,484-273-4116,,Grade 11,16,Spain
S00264,4.9,103.1,81.7,High School,Female,1,266-952-7383,LC3460,Grade 10,15,England
S00265,8.7,80.2,40.6,Bachelor,Female,1,787-684-7041,LC3821,Grade 10,15,Portugal
S00266,3.8,85.6,34.2,Master,Female,5,416-543-3418,LC4595,Grade 11,16,England
S00267,18.2,85.1,59.8,Associate,Male,5,861-267-9317,LC4042,Grade 12,17,Germany
S00268,2.8,61.6,49.1,Doctorate,Male,4,936-707-6013,LC8563,Grade 11,16,Germany
S00269,7.8,79.8,71.2,Associate,Male,2,235-973-3057,,Grade 11,16,Germany
S00270,10.7,49.1,70.3,Bachelor,Male,1,965-298-5536,LC6539,Grade 11,15,Germany
S00271,17.2,55.8,69.6,Bachelor,Female,0,694-488-1268,LC8063,Grade 11,16,Spain
S00272,2.8,73.3,83.4,Master,Female,4,873-497-5702,LC6936,Grade 11,16,France
S00273,15.8,53.8,60.3,Associate,Male,1,744-735-2866,LC2011,Grade 10,15,France
S00274,10.1,49.5,70.5,High School,Female,0,266-160-7181,,Grade 10,15,England
S00275,,60.8,40.0,Master,Male,1,524-542-3531,LC6607,Grade 11,16,Germany
S00276,12.3,97.9,79.4,Doctorate,Female,5,575-543-1094,LC5377,Grade 11,16,Portugal
S00277,11.0,106.1,57.5,Associate,Female,2,754-913-5273,LC1257,Grade 12,17,Portugal
S00278,7.0,74.3,60.7,Master,Female,1,703-584-1874,LC5126,Grade 11,16,Germany
S00279,10.3,86.6,59.9,Doctorate,Male,1,316-197-5801,LC5500,Grade 10,15,Spain
S00280,8.1,63.7,63.5,Doctorate,Female,0,875-708-2201,LC5364,Grade 10,15,Germany
S00281,10.6,33.7,59.5,,Male,4,185-668-7008,LC6716,Grade 10,15,Germany
S00282,13.3,57.1,32.5,High School,Female,3,488-329-3851,LC5702,Grade 12,17,Spain
S00283,17.9,,83.6,Bachelor,Male,1,877-474-6984,LC5920,Grade 12,17,France
S00284,3.8,77.8,55.2,Associate,Male,,534-819-6823,LC7175,Grade 12,16,Spain
S00285,20.7,73.0,59.4,Doctorate,Male,4,521-746-2397,,Grade 11,16,England
S00286,0.2,69.4,62.1,High School,Male,3,827-562-6042,LC9556,Grade 10,14,Spain
S00287,9.2,63.5,72.9,,Female,5,276-853-8699,,Grade 11,16,Germany
S00288,12.9,81.9,57.6,Doctorate,Male,1,803-621-6527,LC7891,Grade 10,15,Germany
S00289,11.4,47.7,81.0,High School,Male,1,499-716-7463,,Grade 11,16,England
S00290,6.9,91.0,93.1,,Male,4,637-919-4575,LC8504,Grade 10,15,Germany
S00291,9.0,63.3,89.5,Doctorate,Male,1,123-169-2526,LC6134,Grade 11,16,Portugal
S00292,7.5,116.3,68.8,Associate,Male,1,448-525-6093,LC6271,Grade 10,15,France
